Account,Risk Cat,Avg Pay Days,Delayed Amt %,P30DTOA,90DSO,Decision
175,Moderate Risk,8.73,88.02,0.00,0.00,Rejected
176,Moderate Risk,-2.57,55.09,0.00,23.21,Rejected
177,Low Risk,16.65,71.37,0.00,78.42,Rejected
178,Low Risk,8.40,35.99,52.14,90.00,Approved
179,Low Risk,-10.69,1.78,0.00,3.63,Approved
180,Low Risk,-15.51,1.49,2.25,0.56,Approved
181,Low Risk,1.13,2.08,4.02,90.00,Approved
182,Low Risk,0.48,75.21,0.73,14.15,Hold
183,Low Risk,-17.62,2.58,0.00,12.31,Approved
184,Moderate Risk,-1.04,35.32,0.00,0.71,Approved
185,Moderate Risk,0.08,17.99,0.00,0.00,Approved
186,Moderate Risk,-18.00,0.00,56.93,90.00,Hold
187,Low Risk,-10.90,3.07,0.67,10.32,Approved
188,Low Risk,-10.64,2.43,0.00,10.19,Approved
189,Low Risk,1.73,97.39,0.00,28.39,Approved
190,Low Risk,-14.09,1.05,48.41,6.90,Approved
191,Moderate Risk,-6.50,22.46,0.00,0.00,Approved
192,Low Risk,-4.33,14.05,0.00,0.00,Approved
193,Moderate Risk,-13.00,0.00,0.00,90.00,Rejected
194,Moderate Risk,2.83,92.84,0.00,55.12,Rejected
195,Low Risk,0.75,52.27,0.00,23.32,Approved
196,Low Risk,-17.00,0.00,0.00,0.00,Approved
197,Low Risk,-2.38,52.58,0.00,31.14,Approved
198,Low Risk,-4.80,25.85,0.00,18.79,Approved
199,High Risk,-6.17,17.89,12.54,18.04,Hold
200,Moderate Risk,-5.34,21.95,0.00,3.40,Approved
201,Moderate Risk,-9.23,20.25,2.47,18.86,Approved
202,Moderate Risk,-5.88,20.06,0.00,20.50,Approved
203,Moderate Risk,-5.78,27.83,0.00,16.02,Approved
204,Low Risk,-16.59,5.70,0.00,29.84,Approved
205,Moderate Risk,-5.91,30.06,0.00,21.17,Approved
206,Moderate Risk,-6.67,4.59,0.00,18.50,Approved
207,Low Risk,-17.72,0.00,0.00,3.23,Approved
208,Moderate Risk,-16.92,5.93,100.00,0.00,Hold
209,Low Risk,0.60,23.97,89.21,90.00,Approved
210,Moderate Risk,-10.02,38.60,2.44,39.38,Hold
211,Moderate Risk,1.67,83.27,0.00,39.75,Rejected
212,Low Risk,-5.29,6.52,0.00,8.48,Approved
213,Moderate Risk,6.77,58.94,0.00,0.47,Rejected
214,Low Risk,-2.00,40.25,1.74,9.26,Approved
215,Low Risk,3.43,97.48,0.00,2.63,Approved
216,Low Risk,0.96,62.98,0.00,0.00,Approved
217,Moderate Risk,-14.92,3.85,0.00,0.00,Approved
218,Moderate Risk,-2.93,21.81,22.69,29.22,Approved
219,Moderate Risk,-2.00,80.58,100.00,90.00,Rejected
220,Moderate Risk,-8.59,6.68,0.00,7.84,Approved
221,High Risk,2.10,75.56,0.00,6.12,Rejected
222,Low Risk,-7.31,14.41,50.61,46.76,Hold
223,Low Risk,-6.74,0.12,0.00,0.84,Approved
224,Moderate Risk,15.96,81.88,57.19,90.00,Rejected
225,Low Risk,-12.50,0.00,0.00,0.00,Approved
226,Moderate Risk,-0.69,59.67,36.82,65.78,Rejected
227,Low Risk,-3.58,43.28,18.10,32.14,Approved
228,Moderate Risk,-3.69,72.37,0.00,53.96,Rejected
229,Moderate Risk,-9.83,12.19,0.00,0.00,Approved
230,Moderate Risk,-2.50,0.00,0.00,0.00,Approved
231,Moderate Risk,-9.71,2.01,0.00,2.64,Approved
232,Low Risk,-16.38,0.00,0.00,36.24,Approved
233,Moderate Risk,-2.32,67.41,3.04,14.87,Rejected
234,Low Risk,-16.98,9.99,0.00,20.24,Approved
235,Moderate Risk,-10.09,9.41,0.00,9.04,Approved
236,Low Risk,-12.01,4.17,0.00,28.69,Approved
237,Low Risk,6.92,74.22,0.00,90.00,Rejected
238,Low Risk,-5.40,27.67,0.00,74.02,Hold
239,Moderate Risk,-5.61,44.26,0.00,21.29,Hold
240,Moderately High Risk,21.96,83.50,55.32,88.82,Rejected
241,Low Risk,5.29,59.39,0.00,0.00,Approved
242,Moderate Risk,7.73,85.85,0.00,37.02,Rejected
243,Low Risk,-2.66,27.30,0.00,21.83,Approved
244,Low Risk,-12.40,0.00,0.00,10.88,Approved
245,Moderate Risk,-9.26,6.60,0.10,10.76,Approved
246,Moderate Risk,-7.28,17.47,46.60,11.15,Hold
247,Moderate Risk,-15.50,0.00,0.00,25.90,Approved
248,Low Risk,-12.50,9.71,0.00,17.04,Approved
249,Low Risk,-9.91,6.65,0.00,43.92,Approved
250,Low Risk,-17.88,0.00,0.00,0.64,Approved
251,Low Risk,-12.38,5.11,56.19,2.22,Approved
252,Low Risk,-10.59,1.04,0.00,23.45,Approved
253,Low Risk,-8.02,23.42,0.00,1.14,Approved
254,Moderate Risk,12.94,83.17,70.63,90.00,Rejected
255,Moderate Risk,-2.62,4.12,0.00,34.57,Approved
256,Low Risk,19.29,70.62,0.00,34.59,Rejected
257,Low Risk,-18.00,0.00,0.00,0.00,Approved
258,Low Risk,7.29,96.76,0.00,0.00,Hold
259,Moderate Risk,6.11,61.14,46.21,90.00,Rejected
260,Moderate Risk,-8.86,0.82,37.68,0.43,Hold
261,Low Risk,-19.67,0.00,0.00,0.00,Approved
262,Low Risk,-10.89,9.85,0.00,0.00,Approved
263,Moderate Risk,10.88,93.37,100.00,90.00,Rejected
264,Moderate Risk,-9.00,100.00,0.00,0.00,Rejected
265,Low Risk,-11.30,5.45,0.00,21.27,Approved
266,Low Risk,39.00,100.00,99.26,90.00,Rejected
267,Moderately High Risk,-5.44,29.46,0.00,42.25,Approved
268,High Risk,20.28,99.79,0.00,0.00,Rejected
269,Low Risk,-10.88,0.00,0.00,33.53,Approved
270,Low Risk,-3.25,1.52,0.00,0.00,Approved
271,Moderate Risk,-13.90,0.02,0.00,1.75,Approved
272,Moderate Risk,0.86,50.98,0.00,17.20,Rejected
273,Low Risk,-5.95,13.57,2.38,29.71,Approved
274,Low Risk,-2.26,50.81,0.00,47.63,Hold
275,Low Risk,7.00,38.76,0.00,17.97,Approved
276,Low Risk,-12.81,1.38,18.03,35.03,Approved
277,Low Risk,-13.13,0.00,0.00,20.83,Approved
278,Low Risk,-2.83,18.52,0.00,30.54,Approved
279,Moderate Risk,0.56,74.80,0.00,14.16,Rejected
280,Moderate Risk,10.38,47.67,0.00,0.00,Hold
281,Low Risk,220.00,100.00,0.00,0.00,Rejected
282,Moderate Risk,-15.03,0.26,0.00,22.64,Approved
283,Low Risk,-1.14,53.15,0.25,14.56,Approved
284,Low Risk,-12.77,0.00,0.00,0.00,Approved
285,Low Risk,-11.94,4.51,0.00,0.37,Approved
286,Low Risk,-0.35,81.11,0.00,15.48,Approved
287,Low Risk,9.48,74.33,0.00,15.89,Approved
288,Low Risk,-13.69,0.94,0.00,3.89,Approved
289,Low Risk,-18.44,0.01,0.00,2.89,Approved
290,Moderate Risk,-15.63,5.10,0.00,0.00,Approved
291,Moderate Risk,9.54,87.59,0.00,0.00,Rejected
292,Moderately High Risk,-17.00,0.00,0.00,0.00,Approved
293,High Risk,-11.30,9.05,0.00,23.23,Approved
294,High Risk,-10.39,5.62,0.00,17.82,Approved
295,High Risk,-11.38,9.25,0.00,8.43,Approved
296,High Risk,-10.10,9.99,18.86,5.94,Approved
297,Moderate Risk,-1.56,26.25,0.00,0.00,Approved
298,Low Risk,-17.49,0.00,0.00,10.61,Approved
299,Low Risk,-13.60,0.00,0.00,0.00,Approved
300,Low Risk,-14.71,2.90,0.00,0.99,Approved
301,Low Risk,-16.33,2.65,0.00,0.00,Approved
302,Low Risk,2.00,45.10,0.00,0.00,Approved
303,Low Risk,-5.03,33.71,0.00,26.82,Approved
304,Moderate Risk,-10.04,21.40,0.00,23.62,Approved
305,High Risk,-37.50,0.00,0.00,90.00,Hold
306,Low Risk,11.26,83.33,37.89,87.28,Rejected
307,Moderate Risk,-3.79,82.24,0.00,37.34,Rejected
308,Moderate Risk,-1.14,38.44,0.00,27.09,Hold
309,Moderate Risk,-11.84,0.07,0.00,25.43,Approved
310,Low Risk,4.48,4.88,0.00,44.95,Approved
311,Moderate Risk,-7.91,37.24,0.00,17.29,Approved
312,Low Risk,-14.00,0.00,0.00,0.00,Approved
313,Low Risk,-9.59,28.86,0.08,17.33,Approved
314,Low Risk,-10.58,10.53,0.00,0.00,Approved
315,Low Risk,-16.69,0.13,0.00,2.48,Approved
316,Moderate Risk,-12.01,0.66,0.00,9.52,Approved
317,Low Risk,-18.76,0.00,5.68,9.80,Approved
318,Low Risk,-12.98,0.00,52.38,0.03,Approved
319,Low Risk,-10.11,1.65,0.00,7.76,Approved
320,Low Risk,-15.83,0.00,0.00,0.00,Approved
321,Low Risk,-14.83,0.12,0.00,0.96,Approved
322,Low Risk,-14.00,12.36,0.00,0.00,Approved
323,Low Risk,-17.91,0.00,0.00,14.32,Approved
324,Moderate Risk,-6.84,46.58,0.00,16.13,Hold
325,Moderate Risk,51.00,100.00,0.00,0.00,Rejected
326,Low Risk,-16.05,2.49,0.00,18.72,Approved
327,Low Risk,-14.40,0.03,0.00,22.15,Approved
328,Low Risk,-15.50,0.00,0.00,90.00,Hold
329,Low Risk,-5.26,18.55,0.00,0.00,Approved
330,Moderate Risk,-8.44,0.91,0.00,0.00,Approved
331,Low Risk,-14.73,0.00,0.00,3.74,Approved
332,Low Risk,-11.71,9.16,0.00,42.12,Approved
333,Low Risk,-0.06,44.44,0.00,30.03,Approved
334,Low Risk,-20.50,0.00,100.00,0.56,Hold
335,Moderate Risk,19.44,78.24,0.00,90.00,Rejected
336,Low Risk,-4.83,20.72,0.00,0.00,Approved
337,Moderate Risk,10.55,93.87,0.00,35.77,Rejected
338,Moderately High Risk,-7.80,0.44,0.00,0.00,Approved
339,Moderate Risk,-11.19,0.74,0.00,2.79,Approved
340,Low Risk,-15.78,0.00,0.00,4.60,Approved
341,Moderately High Risk,15.84,88.03,100.00,0.00,Rejected
342,Moderate Risk,-4.95,0.18,0.00,0.00,Approved
343,Moderate Risk,3.67,77.78,0.00,13.27,Rejected
344,Low Risk,-14.97,0.00,0.00,27.10,Approved
345,Low Risk,-7.95,17.41,39.57,42.72,Approved
346,Low Risk,-13.76,8.43,0.00,0.00,Approved
347,Moderate Risk,13.33,86.56,0.00,31.05,Rejected
348,High Risk,-12.09,20.31,0.00,18.14,Approved
349,Moderate Risk,-17.62,15.43,0.00,0.15,Approved
350,Low Risk,-14.80,0.51,0.00,13.24,Approved
351,Low Risk,-15.59,0.00,0.00,1.08,Approved
352,Moderate Risk,19.89,83.56,0.00,40.55,Rejected
353,Moderate Risk,27.50,99.85,0.00,54.33,Rejected
354,High Risk,-12.48,0.44,0.00,0.68,Approved
355,Low Risk,-6.52,1.30,0.00,1.91,Approved
356,Moderate Risk,-15.36,9.03,0.00,90.00,Approved
357,Moderate Risk,0.17,31.81,0.00,0.00,Approved
358,High Risk,-17.48,0.00,0.00,12.35,Approved
359,Low Risk,-18.00,0.00,0.00,0.00,Approved
360,Low Risk,-8.82,0.05,1.13,10.88,Approved
361,Moderate Risk,26.00,100.00,0.00,0.00,Rejected
362,Low Risk,1.73,80.15,0.00,10.50,Approved
363,Moderate Risk,61.60,100.00,0.00,0.00,Rejected
364,High Risk,-10.80,11.22,0.00,9.64,Approved
365,High Risk,-5.87,46.52,0.00,11.28,Hold
366,High Risk,-2.67,64.41,0.00,22.19,Rejected
367,Moderately High Risk,4.67,93.60,0.00,22.77,Rejected
368,High Risk,-11.14,8.03,0.00,8.85,Approved
369,Moderately High Risk,46.50,100.00,0.00,0.00,Rejected
370,Low Risk,-9.00,0.00,0.00,0.00,Approved
371,Moderate Risk,-14.39,3.76,0.00,6.82,Approved
372,Moderate Risk,0.28,67.03,0.00,34.07,Rejected
373,Low Risk,-16.96,0.00,0.00,1.43,Approved
374,Moderate Risk,-14.56,3.49,0.00,10.37,Approved
375,Low Risk,-31.50,0.00,0.00,0.00,Approved
376,Moderately High Risk,-27.62,0.00,0.00,0.00,Approved
377,Low Risk,-20.36,0.00,0.00,47.47,Hold
378,Low Risk,-16.84,0.29,0.00,2.12,Approved
379,Low Risk,-15.22,0.00,0.00,50.64,Hold
380,Moderate Risk,-18.83,0.00,0.00,16.67,Approved
381,Low Risk,-10.34,1.53,12.87,0.58,Approved
382,Moderate Risk,12.00,82.56,0.00,0.00,Rejected
383,Moderate Risk,2.95,90.18,0.00,35.09,Rejected
384,Moderate Risk,35.67,100.00,61.10,90.00,Rejected
385,Moderate Risk,28.90,100.00,65.19,90.00,Rejected
386,Moderate Risk,10.11,94.11,0.00,0.00,Rejected
387,Moderate Risk,59.00,100.00,0.00,90.00,Rejected
388,Moderate Risk,12.00,100.00,0.00,0.00,Rejected
389,Low Risk,3.56,84.54,0.00,0.00,Approved
390,Moderately High Risk,71.00,100.00,100.00,0.00,Rejected
391,Moderate Risk,25.00,100.00,0.00,0.00,Rejected
392,Moderate Risk,-1.13,34.72,0.00,27.87,Approved
393,Moderate Risk,4.00,100.00,0.00,0.00,Rejected
394,Moderate Risk,32.00,100.00,0.00,0.00,Rejected
395,Moderate Risk,0.05,65.09,3.38,41.40,Rejected
396,Moderate Risk,11.67,65.50,0.00,0.00,Rejected
397,Moderately High Risk,-13.29,16.44,0.00,59.30,Approved
398,Moderate Risk,41.00,100.00,0.00,0.00,Rejected
399,Low Risk,-13.12,0.00,0.00,1.27,Approved
400,Low Risk,-13.16,5.93,83.15,90.00,Hold
401,Low Risk,10.04,48.64,0.00,4.59,Hold
402,Low Risk,16.91,79.65,60.75,89.16,Rejected
403,Low Risk,5.08,75.08,0.00,35.76,Hold
404,Low Risk,-7.17,33.77,0.00,31.99,Approved
405,High Risk,-6.00,26.01,0.00,0.00,Approved
406,Moderate Risk,2.23,85.91,0.00,64.78,Rejected
407,Moderate Risk,-10.00,12.40,0.00,10.07,Approved
408,Low Risk,-15.49,3.17,0.00,0.28,Approved
409,Moderate Risk,-11.58,6.99,4.38,5.01,Approved
410,Low Risk,-15.00,0.00,0.00,90.00,Hold
411,Moderate Risk,-16.57,1.50,10.73,19.67,Approved
412,Moderate Risk,5.76,92.10,29.37,43.18,Rejected
413,Low Risk,-8.88,7.18,0.00,12.86,Approved
414,Low Risk,-16.74,0.00,0.00,0.00,Approved
415,Low Risk,-9.99,0.00,0.00,37.15,Approved
416,Moderate Risk,0.12,45.48,31.36,65.36,Hold
417,Moderate Risk,8.23,89.12,0.00,0.00,Rejected
418,Low Risk,-15.63,0.00,0.00,90.00,Hold
419,Low Risk,-13.16,7.72,0.00,31.65,Approved
420,Moderate Risk,-1.59,47.60,1.07,19.55,Hold
421,Low Risk,-8.55,14.54,20.68,17.60,Approved
422,Moderate Risk,18.27,87.56,0.00,90.00,Rejected
423,Low Risk,-9.05,20.69,0.00,0.00,Approved
424,Moderate Risk,43.00,100.00,0.00,0.00,Rejected
425,Moderate Risk,167.00,100.00,0.00,0.00,Rejected
426,Moderate Risk,-25.50,0.00,0.00,0.00,Approved
427,Moderate Risk,10.67,66.92,46.69,90.00,Rejected
428,Low Risk,-7.20,77.13,0.00,90.00,Rejected
429,Moderate Risk,-23.14,0.00,0.00,27.17,Approved
430,High Risk,-24.67,0.00,0.00,9.86,Approved
431,Low Risk,28.17,86.08,52.10,90.00,Rejected
432,Low Risk,-3.70,12.65,0.00,86.98,Hold
433,Low Risk,-25.13,0.00,0.00,41.04,Approved
434,High Risk,-21.16,5.04,0.00,26.41,Approved
435,High Risk,-24.14,0.00,0.00,19.77,Approved
436,Moderate Risk,-12.50,0.00,0.00,0.00,Approved
437,Moderately High Risk,1.43,48.19,0.00,90.00,Hold
438,Moderately High Risk,13.00,100.00,0.00,0.00,Rejected
439,High Risk,-23.26,0.00,0.00,11.76,Approved
440,High Risk,-24.09,0.00,0.00,35.91,Hold
441,Moderate Risk,-9.14,0.00,27.05,70.84,Approved
442,Low Risk,0.00,0.00,0.00,90.00,Approved
443,High Risk,-22.81,0.00,0.00,23.52,Approved
444,High Risk,-23.81,0.00,0.00,21.37,Approved
445,High Risk,-23.55,0.00,0.00,23.29,Approved
446,Moderate Risk,37.58,96.35,100.00,0.00,Rejected
447,Low Risk,-10.13,0.00,0.00,0.00,Approved
448,Moderate Risk,-12.33,0.88,0.32,7.18,Approved
449,High Risk,-22.67,0.00,0.00,21.17,Approved
450,High Risk,-21.21,0.00,0.00,61.42,Hold
451,High Risk,-23.58,0.00,0.00,17.26,Approved
452,High Risk,-22.29,0.00,0.00,11.60,Approved
453,Moderate Risk,-20.00,0.00,0.00,0.00,Approved
454,High Risk,-23.53,0.00,0.00,21.96,Approved
455,Moderate Risk,-6.42,23.57,1.41,18.41,Approved
456,Low Risk,7.31,89.46,12.62,38.82,Hold
457,High Risk,-22.84,0.00,0.00,11.83,Approved
458,Low Risk,-18.04,0.00,0.00,10.85,Approved
459,High Risk,-19.00,0.00,0.00,0.00,Approved
460,High Risk,-22.39,0.00,0.00,42.91,Hold
461,High Risk,-24.81,0.00,0.00,13.40,Approved
462,High Risk,-24.57,0.00,0.00,15.44,Approved
463,High Risk,-22.58,0.00,0.00,82.42,Hold
464,High Risk,-24.04,0.00,0.00,31.77,Hold
465,High Risk,-21.00,0.00,0.00,34.28,Hold
466,Moderate Risk,15.00,100.00,0.00,0.00,Rejected
467,High Risk,-7.00,0.12,0.00,7.30,Approved
468,High Risk,-7.31,20.15,0.00,26.51,Approved
